title,author,,publisher, page_count,,publication_date
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen/L.J. Ganser,,Harper Paperbacks,286,,1/7/2003
Great Expectations,Charles Dickens/David Trotter/Charlotte Mitchell,,Penguin Books,512,,12/31/2002
Great Expectations: Authoritative Text  Backgrounds  Contexts  Criticism,Charles Dickens/Edgar Rosenberg,,W.W. Norton & Company,776,,1/19/1999
Luther and Erasmus: Free Will and Salvation (Library of Christian Classics),Erasmus/Martin Luther/Philip S. Watson/E. Gordon Rupp,,Westminster John Knox Press,364,,1/1/1969
To Kill a Mockingbird,Harper Lee,,Harper Perennial Modern Classics,323,,7/5/2005
To Kill a Mockingbird,Harper Lee/Sissy Spacek,,Caedmon,11,,8/22/2006
To Kill a Mockingbird,Harper Lee,,Harper,323,,10/17/2006
The Wealthy Barber: Everyone's Common-Sense Guide to Becoming Financially Independent,David H. Chilton,,Prima Lifestyles,199,,9/20/1995
A Modest Proposal and Other Satirical Works,Jonathan Swift,,Dover Publications,64,,2/2/1996
Gulliver's Travels / A Modest Proposal,Jonathan Swift/Jesse Gale,,Simon  Schuster,416,,8/1/2005
Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C./Xavier de C./Joseph Rowe,,North Atlantic Books,144,,5/4/2004
The Bostonians,Henry James/R.D. Gooder,,Oxford University Press,504,,7/23/1998
Novels 1896–1899: The Other House / The Spoils of Poynton / What Maisie Knew / The Awkward Age,Henry James/Myra Jehlen,,Library of America,1035,,3/10/2003
Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James/Leo Bersani,,Library of America,713,,2/2/2006
Complete Stories 1892–1898,Henry James/John Hollander/David Bromwich,,Library of America,958,,1/1/1996
The Canterbury Tales,Geoffrey Chaucer/Nevill Coghill,,Penguin Classics,504,,1/30/2003
The Canterbury Tales,Geoffrey Chaucer/David  Wright,,Oxford University Press,465,,7/9/1998
The Canterbury Tales (original-spelling edition),Geoffrey Chaucer/Jill Mann,,Penguin Classics,1254,,4/7/2005
Chaucer's Canterbury Tales (Selected): An Interlinear Translation,Geoffrey Chaucer/Vincent Foster Hopper,,Barrons Educational Series,530,,12/31/1977
Oxford Guides to Chaucer: The Canterbury Tales,Helen  Cooper,,Oxford University Press  USA,456,,5/23/1996
Love Visions,Geoffrey Chaucer/Brian Stone,,Penguin Classics,272,,5/26/1983
Chaucer's Canterbury Tales,Geoffrey Chaucer,,Washington Square Press,383,,1/28/1964
The Riverside Chaucer,Geoffrey Chaucer/Larry Dean Benson/F.N. Robinson,,Houghton Mifflin,1327,,12/12/1987
The Portable Chaucer,Geoffrey Chaucer/Theodore Morrison,,Penguin Books,611,,5/26/1977
Salt: A World History,Mark Kurlansky,,Penguin Books,484,,1/28/2003
Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan/Kadir Nelson/Roslyn M. Jordan,,Simon  Schuster Books for Young Readers,32,,11/1/2003
The Book of Salt,Monique Truong,,Mariner Books,261,,6/15/2004
Cities of Salt (مدن الملح #1),Abdul Rahman Munif/Peter Theroux,,Vintage,627,,7/17/1989
The Years of Rice and Salt,Kim Stanley Robinson,,Bantam Books,763,,6/3/2003
Illuminations: Essays and Reflections,Walter Benjamin/Hannah Arendt/Harry Zohn/Leon Wieseltier,,Schocken,288,,1/13/1969
Saul Steinberg: Illuminations,Saul Steinberg/Joel Smith/Charles Simic,,Yale University Press,288,,11/1/2006
Advanced Global Illumination,Philip Dutre,,A K PETERS,366,,8/30/2006
Snow Falling On Cedars,David Guterson,,Bloomsbury Publishing PLC,404,,10/21/1999
The Lost Boy (Dave Pelzer #2),Dave Pelzer,,Health Communications Inc,331,,8/1/1997
Real Boys: Rescuing Our Sons from the Myths of Boyhood,William S. Pollack/Mary Pipher,,Owl Publishing Company,480,,5/10/1999
Microserfs,Douglas Coupland,,Harper Perennial,371,,1/1/2008
New Media Language,Jean Aitchison/Diana M. Lewis,,Routledge,209,,5/22/2003
The Denial of Death,Ernest Becker/Sam Keen/Daniel Goleman,,Free Press,336,,5/8/1997
A People's History of the United States,Howard Zinn,,Harper Perennial,729,,8/2/2005
A People's History of the United States,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,,The New Press,619,,7/1/2003
A People's History of the United States: The Civil War to the Present,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,,The New Press,496,,8/1/2003
Graphic Design: A Concise History (World of Art),Richard Hollis,,Thames  Hudson,232,,5/17/2002
Immigrant Acts: On Asian American Cultural Politics,Lisa Lowe,,Duke University Press Books,272,,10/21/1996
The Old Way of Seeing: How Architecture Lost Its Magic - And How to Get It Back,Jonathan Hale,,Mariner Books,256,,9/1/1995
The Crying of Lot 49,Thomas Pynchon,,Harper Perennial,152,,10/17/2006
E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,,Berkley Trade,337,,10/1/2000
Passionate Minds,David Bodanis,,Crown Publishing Group (NY),373,,10/10/2006
Christian Mythmakers: C.S. Lewis  Madeleine L'Engle  J.R.R. Tolkien  George MacDonald  G.K. Chesterton  Charles Williams  Dante Alighieri  John Bunyan  Walter Wangerin  Robert Siegel  and Hannah Hurnard,Rolland Hein/Clyde S. Kilby,,Cornerstone Press Chicago,303,,12/1/2002
A House Like a Lotus (O'Keefe Family  #3),Madeleine L'Engle,,Dell,307,,11/1/1985
The Rock That Is Higher: Story as Truth,Madeleine L'Engle,,Shaw Books,320,,3/19/2002
The Glorious Impossible,Madeleine L'Engle/Giotto di Bondone,,Simon & Schuster Children's Publishing,64,,9/30/1990
A Full House: An Austin Family Christmas (Austin Family  #5.6),Madeleine L'Engle/Mary Chambers,,Shaw,48,,3/7/2000
A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle,,HarperOne,246,,1/1/1984
The Birth of Tragedy and Other Writings,Friedrich Nietzsche/Raymond Geuss/Ronald Speirs,,Cambridge University Press,204,,4/22/1999
The Birth of Tragedy/The Genealogy of Morals,Friedrich Nietzsche/Francis Golffing,,Anchor,320,,5/7/1990
The Birth of Tragedy,Friedrich Nietzsche,,Kessinger Publishing,84,,6/17/2004
The Birth of Tragedy,Friedrich Nietzsche/Michael Tanner/Shaun Whiteside,,Penguin Classics,160,,11/27/2003
Birth Of A Tragedy: Kashmir 1947,Alastair Lamb,,Roxford Books,179,,3/14/2008
The Tragedy of Pudd'nhead Wilson/Those Extraordinary Twins,Mark Twain/David Lionel Smith/Sherley Anne Williams,,Oxford University Press  USA,512,,3/6/1997
The Tragedy of Pudd'nhead Wilson,Mark Twain/Michael Prichard,,Tantor Media,0,,1/1/2003
Bridge to Terabithia,Katherine Paterson/Donna Diamond,,HarperTeen,191,,7/1/2008
Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,,Teaching Resources,32,,1/1/2002
Bread and Roses  Too,Katherine Paterson,,Clarion Books,275,,9/4/2006
The Invisible Child,Katherine Paterson,,Dutton Juvenile,266,,12/31/2001
A Short History of Decay,Emil M. Cioran/Richard Howard,,Arcade Publishing,186,,9/15/1998
Scholar of Decay (Ravenloft  #14),Tanya Huff,,TSR,313,,5/1/2000
Girl with a Pearl Earring,Tracy Chevalier,,Plume Books,233,,9/30/2003
The Golden Tulip,Rosalind Laker,,Doubleday,585,,9/1/1991
Burning Bright,Tracy Chevalier,,Dutton,320,,3/20/2007
Falling Angels,Tracy Chevalier,,Penguin Books,336,,9/24/2002
The Virgin Blue,Tracy Chevalier,,Penguin Books,304,,6/24/2003
Wenn Engel fallen,Tracy Chevalier,,List,384,,2/1/2002
